年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,1班,谢雨峥,110,133,134.5,90,68,/,/,/,78
本高2023届,1班,穆诺澄,105,123,127,89,51,65,/,/,/
本高2023届,2班,舒绮华,120,108,124,/,/,/,69,90,74
本高2023届,3班,谢棋燃,123,109,137.5,/,/,81,63,83,/
本高2023届,4班,蒋曼蓓,49,41,/,/,/,/,/,/,/
本高2023届,6班,尤玥莲,112,98,126.5,81,51,/,60,/,/
本高2023届,6班,阮岑庚,103,102,/,71,/,/,/,/,/
本高2023届,6班,贾汝蔚,113,135,133,83,86,80,/,/,/
本高2023届,7班,成迎浪,123,127,141,85,75,/,/,/,82
本高2023届,8班,松骥雄,105,91,123,56,36,61,/,/,/
本高2023届,8班,傅晏成,112,106,128,63,51,78,/,/,/
本高2023届,9班,贾滨林,103,102,132.5,85,47,67,/,/,/
本高2023届,12班,洪晔晴,99,99,135,88,74,/,65,/,/
本高2023届,12班,姬馨珏,110,95,106,75,48,61,/,/,/
本高2023届,12班,经钰漫,100,120,129.5,92,76,73,/,/,/
本高2023届,14班,田祺爱,93,103,112,57,36,52,/,/,/
本高2023届,15班,俞航雁,84,92,96.5,58,41,75,/,/,/
本高2023届,1班,明凌启,106,135,133.5,87,83,93,/,/,/
本高2023届,1班,徐蝶真,100,105,128.5,61,51,34,/,/,/
本高2023届,1班,毛欣吟,114,131,134.5,89,75,91,/,/,/
本高2023届,1班,幸晗裙,105,114,140,81,63,80,/,/,/
本高2023届,2班,王玫良,117,89,138.5,/,/,/,60,72,74
本高2023届,2班,林竹根,97,57,103,/,/,/,58,71,65
本高2023届,2班,孟瑛菁,108,93,126.5,/,/,55,59,75,/
本高2023届,2班,翁川帅,105,74,124.5,/,/,/,58,71,69.5
本高2023届,2班,韩娣励,112,82,137,/,/,/,52,83,67.5
本高2023届,3班,尤钟柱,121,120,135.5,/,/,/,64,84,75.5
本高2023届,3班,纪泉才,107,113,138.5,/,/,/,67,77,73.5
本高2023届,3班,井晔思,110,129,137,/,/,/,60,79,74
本高2023届,3班,蔡声灵,117,116,118.5,/,/,63,80,82,/
本高2023届,4班,施嵘琦,112,111,128,/,/,/,66,87,80.5
本高2023届,4班,蔡南联,110,92,130,/,/,63,63,70,/
本高2023届,4班,杭雷赞,52,62,112.5,/,/,/,33,51,61
本高2023届,4班,傅辉发,109,113,131,/,/,73,78,85,/
本高2023届,6班,温彤婕,102,107,108.5,76,47,/,56,/,/
本高2023届,6班,洪贞婉,102,116,126.5,69,65,83,/,/,/
本高2023届,7班,卢岱攀,117,116,137.5,84,69,85,/,/,/
本高2023届,7班,薛齐灏,121,141,136,92,81,74,/,/,/
本高2023届,7班,魏莉玲,128,126,144.5,/,/,/,80,95,92
本高2023届,7班,许满策,112,138,137,97,67,88,/,/,/
本高2023届,7班,邹韵齐,115,137,131,89,76,/,/,/,86
本高2023届,7班,殷翔黎,123,138,136,98,76,91,/,/,/
本高2023届,8班,邓园宾,109,120,124.5,73,60,77,/,/,/
本高2023届,8班,嵇崧朋,105,114,102,83,60,70,/,/,/
本高2023届,8班,施标谦,106,127,113.5,88,58,72,/,/,/
本高2023届,9班,戚凌洲,109,101,125.5,71,55,/,66,/,/
本高2023届,10班,宫迁胡,98,87,114.5,51,/,77,/,/,57
本高2023届,10班,奚凌妙,101,87,/,48,47,66,/,/,/
本高2023届,11班,翁娜梅,107,110,126,75,48,/,/,/,62
本高2023届,11班,白钟朗,100,110,128.5,67,56,/,/,/,64
本高2023届,11班,邢雪喻,111,125,129,85,63,/,/,/,75
本高2023届,11班,滑彬好,110,102,133,90,67,/,/,/,71
本高2023届,11班,何然彩,110,111,115.5,60,52,/,/,/,59.5
本高2023届,11班,穆慈跃,105,102,117.5,63,48,/,/,/,67
本高2023届,11班,计利耿,103,109,125.5,83,61,/,/,/,75
本高2023届,11班,束敏朦,107,90,119.5,60,47,/,/,/,70.5
本高2023届,12班,邹郁满,97,116,120,65,64,/,63,/,/
本高2023届,12班,柏洵泽,104,76,129.5,62,48,69,/,/,/
本高2023届,12班,李碧格,98,101,109,47,51,72,/,/,/
本高2023届,12班,曹桑纯,107,109,139,88,47,78,/,/,/
本高2023届,12班,柏前溪,114,129,140.5,73,70,78,/,/,/
本高2023届,13班,殷鹭蔷,95,90,121,74,58,69,/,/,/
本高2023届,13班,奚信晗,97,122,94.5,69,49,42,/,/,/
本高2023届,13班,蔡歌舰,82,93,108.5,83,76,73,/,/,/
本高2023届,13班,钱眉音,110,82,86.5,53,46,72,/,/,/
本高2023届,13班,凌若焰,111,116,128,82,55,77,/,/,/
本高2023届,14班,章宙壮,111,117,121.5,85,54,/,/,/,74
本高2023届,15班,荣柏奎,111,119,114.5,72,58,/,50,/,/
本高2023届,15班,舒梦霜,95,101,121.5,86,55,77,/,/,/
本高2023届,15班,翁姣果,108,116,123,80,52,/,/,/,76
本高2023届,1班,罗瀚弛,120,138,131,90,68,83,/,/,/
本高2023届,3班,高姿羚,115,104,140,/,/,/,71,80,74
本高2023届,4班,雷衡炎,114,74,125.5,/,/,59,58,87,/
本高2023届,5班,俞瑶菲,94,84,109,65,53,/,/,/,68.5
本高2023届,6班,曹菲娜,112,111,128.5,89,75,80,/,/,/
本高2023届,7班,褚颖疆,117,143,129.5,94,71,86,/,/,/
本高2023届,8班,骆亚丽,97,90,137.5,74,61,77,/,/,/
本高2023届,8班,侯兵舰,109,97,127.5,49,45,71,/,/,/
本高2023届,8班,束京妮,110,121,128.5,88,55,82,/,/,/
本高2023届,9班,范昀攀,104,110,109.5,67,48,/,58,/,/
本高2023届,9班,嵇嫣蓓,113,110,125.5,71,61,/,58,/,/
本高2023届,9班,谭馨曼,109,113,117.5,71,51,68,/,/,/
本高2023届,10班,翁嫚燕,108,106,113.5,60,56,46,/,/,/
本高2023届,10班,姬凡连,111,113,127.5,77,/,81,/,/,80
本高2023届,11班,邱忱芳,108,105,116.5,63,37,/,/,/,66
本高2023届,15班,姜珺琨,109,101,110.5,79,37,/,57,/,/
本高2023届,1班,单奕畅,123,125,143.5,69,65,73,/,/,/
本高2023届,5班,冯曼望,107,125,125,96,62,/,/,/,68
本高2023届,1班,滑骏岳,107,118,136,86,52,84,/,/,/
本高2023届,1班,祝斐姬,114,135,132,91,75,87,/,/,/
本高2023届,1班,钟默飙,117,136,135.5,84,72,82,/,/,/
本高2023届,1班,顾筱琪,112,142,132.5,86,78,92,/,/,/
本高2023届,1班,邹柯开,110,133,137,93,81,95,/,/,/
本高2023届,1班,富昆舰,118,121,134,87,70,/,/,/,80
本高2023届,1班,伍化莹,106,113,124.5,74,59,73,/,/,/
本高2023届,1班,柏眉喻,109,110,134.5,81,65,/,/,/,75
本高2023届,1班,宫维萍,109,137,125,95,87,87,/,/,/
本高2023届,1班,宋耘晨,114,142,141,93,84,86,/,/,/
本高2023届,2班,巫剑桐,115,84,135.5,/,/,/,66,81,70
本高2023届,2班,凤含可,111,90,113,/,/,67,54,86,/
本高2023届,2班,史洵樱,94,107,113.5,/,/,/,64,83,64
本高2023届,2班,包登刚,107,77,119,/,/,/,61,82,65
本高2023届,2班,蒙微喆,111,94,134.5,/,/,/,76,78,70
本高2023届,2班,晏菊优,97,102,107.5,/,/,/,63,85,72.5
本高2023届,2班,袁雯鸽,116,111,124,/,/,/,77,83,69
本高2023届,2班,诸跃千,106,91,127,/,/,/,64,82,68.5
本高2023届,2班,诸锋渊,124,119,133,/,/,/,63,67,72.5
本高2023届,3班,毕禄勉,109,109,123,/,/,64,68,77,/
本高2023届,3班,萧容珑,109,95,122.5,/,/,/,58,84,67
本高2023届,3班,经琴薇,114,87,140.5,/,/,69,58,79,/
本高2023届,4班,明熠子,121,99,122,/,/,/,70,77,84
本高2023届,4班,蒋力银,103,81,114.5,/,/,/,73,/,73
本高2023届,4班,韩耀琥,115,64,130.5,/,/,/,55,69,74
本高2023届,4班,颜灵欣,103,90,128,/,/,/,59,86,78
本高2023届,4班,崔姬竹,107,100,133.5,/,/,65,60,83,/
本高2023届,4班,蓬戈钥,111,83,120,/,/,/,59,79,68.5
本高2023届,4班,霍岚玥,98,75,121,/,/,52,62,82,/
本高2023届,4班,水祺丹,105,68,131.5,/,/,56,58,73,/
本高2023届,5班,纪雯燕,110,106,124.5,82,57,/,/,/,67.5
本高2023届,5班,花旻斐,93,116,113,82,60,/,/,/,79.5
本高2023届,5班,柯咪愉,116,133,117,78,73,/,/,/,66.5
本高2023届,5班,宋曦阳,108,105,121.5,73,46,/,/,/,68
本高2023届,5班,谢曦品,102,94,97,54,40,/,/,/,63
本高2023届,6班,刘曙研,111,119,129.5,81,61,75,/,/,/
本高2023届,6班,赖年鹰,107,104,134.5,77,61,/,57,/,/
本高2023届,6班,郎荔蓉,116,98,137,75,57,70,/,/,/
本高2023届,6班,井潜霄,103,119,140,65,58,59,/,/,/
本高2023届,6班,祁连蕴,123,134,143.5,89,72,76,/,/,/
本高2023届,6班,褚赢严,113,107,131,83,60,84,/,/,/
