年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,10班,韶烈耀,115,112,123.5,77,/,76,/,/,63
本高2023届,12班,孔佳忱,111,112,107,53,61,71,/,/,/
本高2023届,13班,何唯菡,84,72,90.5,32,33,49,/,/,/
本高2023届,,石卿霞,122,104,123.5,/,/,/,60,67,67
本高2023届,1班,高祺品,109,128,129.5,77,67,69,/,/,/
本高2023届,2班,强燃准,117,76,119,/,/,/,50,54,74
本高2023届,2班,庞绚鸽,114,93,106,/,/,61,80,73,/
本高2023届,3班,郭忠民,105,93,117,/,/,/,65,69,69
本高2023届,4班,周玲纯,110,94,111,/,/,/,58,67,64
本高2023届,11班,凤原启,104,98,116,57,55,/,/,/,62
本高2023届,12班,侯爱梓,112,128,129.5,68,57,65,/,/,/
本高2023届,12班,缪言焰,112,93,111,54,59,/,/,/,73
本高2023届,13班,惠朋言,102,96,87.5,46,37,50,/,/,/
本高2023届,13班,毕斐言,96,107,114.5,59,68,65,/,/,/
本高2023届,14班,包玥耘,112,106,105.5,48,58,/,/,/,66
本高2023届,15班,惠沫绚,114,84,92.5,49,69,65,/,/,/
本高2023届,,盛萍子,119,93,113,/,/,80,70,77,/
本高2023届,1班,谢雨峥,118,119,132,69,67,/,/,/,73
本高2023届,1班,穆诺澄,105,123,115.5,69,67,79,/,/,/
本高2023届,2班,舒绮华,104,116,122.5,/,/,/,64,74,70
本高2023届,4班,蒋曼蓓,106,72,107.5,/,/,47,36,66,/
本高2023届,4班,秋勇力,113,118,115.5,/,/,/,58,60,67
本高2023届,6班,尤玥莲,105,97,130.5,73,67,/,76,/,/
本高2023届,6班,阮岑庚,104,110,/,66,/,/,/,/,/
本高2023届,6班,贾汝蔚,121,128,132,84,67,70,/,/,/
本高2023届,7班,成迎浪,117,112,137.5,78,71,/,/,/,77
本高2023届,8班,傅晏成,105,107,120.5,60,61,63,/,/,/
本高2023届,9班,贾滨林,109,109,124.5,60,61,69,/,/,/
本高2023届,12班,洪晔晴,107,104,128.5,63,81,/,57,/,/
本高2023届,12班,姬馨珏,110,109,103,37,59,58,/,/,/
本高2023届,12班,经钰漫,111,110,121.5,65,85,83,/,/,/
本高2023届,14班,田祺爱,98,92,107,51,41,45,/,/,/
本高2023届,15班,俞航雁,104,89,94.5,62,50,46,/,/,/
本高2023届,,荣丽凡,107,127,109,64,58,/,/,/,46
本高2023届,,甄遥卓,109,109,121.5,/,/,66,69,70,/
本高2023届,1班,明凌启,119,124,122.5,91,86,77,/,/,/
本高2023届,1班,徐蝶真,105,117,115.5,45,54,44,/,/,/
本高2023届,1班,毛欣吟,109,123,122.5,81,64,80,/,/,/
本高2023届,1班,幸晗裙,118,110,125,55,66,73,/,/,/
本高2023届,2班,王玫良,117,110,124.5,/,/,/,40,61,43
本高2023届,2班,林竹根,105,68,103,/,/,/,59,62,71
本高2023届,2班,孟瑛菁,112,103,116.5,/,/,47,59,66,/
本高2023届,2班,翁川帅,118,87,113,/,/,/,59,49,67
本高2023届,2班,韩娣励,105,77,125.5,/,/,/,53,67,61
本高2023届,3班,邵灵昭,108,72,126,/,/,/,51,63,63
本高2023届,3班,尤钟柱,122,121,122,/,/,/,78,79,73
本高2023届,3班,纪泉才,113,116,143,/,/,/,68,67,72
本高2023届,3班,井晔思,113,120,137.5,/,/,/,67,72,69
本高2023届,3班,蔡声灵,112,110,114.5,/,/,61,63,67,/
本高2023届,4班,施嵘琦,117,111,122.5,/,/,/,62,76,74
本高2023届,4班,蔡南联,114,110,123,/,/,55,72,53,/
本高2023届,4班,杭雷赞,115,73,137.5,/,/,/,64,62,64
本高2023届,4班,傅辉发,119,122,113,/,/,76,70,69,/
本高2023届,6班,温彤婕,104,98,122.5,52,50,/,63,/,/
本高2023届,6班,洪贞婉,108,122,127,85,85,77,/,/,/
本高2023届,7班,卢岱攀,116,116,129.5,72,78,82,/,/,/
本高2023届,7班,薛齐灏,116,134,132.5,86,84,75,/,/,/
本高2023届,7班,魏莉玲,131,134,147,/,/,/,86,85,80
本高2023届,7班,许满策,119,133,127.5,86,74,64,/,/,/
本高2023届,7班,邹韵齐,116,122,138,77,82,/,/,/,70
本高2023届,7班,殷翔黎,106,135,132,95,73,79,/,/,/
本高2023届,8班,邓园宾,115,116,112,58,56,72,/,/,/
本高2023届,8班,嵇崧朋,102,100,90.5,66,57,70,/,/,/
本高2023届,8班,施标谦,109,120,109,72,66,61,/,/,/
本高2023届,9班,戚凌洲,114,93,119,53,56,/,68,/,/
本高2023届,10班,娄龙旦,94,89,124.5,34,/,56,/,/,64
本高2023届,10班,宫迁胡,108,86,94,56,/,57,/,/,63
本高2023届,10班,仲洋笛,118,104,105,60,58,62,/,/,/
本高2023届,10班,奚凌妙,100,108,119,59,50,38,/,/,/
本高2023届,11班,翁娜梅,109,95,119.5,61,60,/,/,/,67
本高2023届,11班,白钟朗,105,105,129.5,51,69,/,/,/,70
本高2023届,11班,邢雪喻,106,104,119,58,65,/,/,/,65
本高2023届,11班,滑彬好,118,124,114,78,75,/,/,/,60
本高2023届,11班,何然彩,97,115,103.5,47,55,/,/,/,62
本高2023届,11班,穆慈跃,114,112,106.5,58,65,/,/,/,48
本高2023届,11班,计利耿,105,101,121.5,63,57,/,/,/,76
本高2023届,11班,荣毓品,99,97,125.5,51,48,/,/,/,56
本高2023届,11班,束敏朦,111,114,128.5,56,49,/,/,/,54
本高2023届,12班,邹郁满,119,118,117.5,76,74,/,63,/,/
本高2023届,12班,柏洵泽,98,60,107,22,46,58,/,/,/
本高2023届,12班,李碧格,111,99,107,51,46,47,/,/,/
本高2023届,12班,曹桑纯,113,91,122.5,61,59,72,/,/,/
本高2023届,12班,柏前溪,104,118,127,68,65,71,/,/,/
本高2023届,13班,殷鹭蔷,111,100,108.5,55,47,64,/,/,/
本高2023届,13班,奚信晗,107,125,95,58,53,49,/,/,/
本高2023届,13班,蔡歌舰,97,110,107.5,60,48,61,/,/,/
本高2023届,13班,钱眉音,111,107,92.5,70,61,80,/,/,/
本高2023届,13班,凌若焰,103,124,114,86,79,68,/,/,/
本高2023届,14班,章宙壮,108,110,106,71,61,/,/,/,74
本高2023届,15班,荣柏奎,111,97,96,43,45,/,47,/,/
本高2023届,15班,舒梦霜,97,113,120.5,62,70,69,/,/,/
本高2023届,15班,翁姣果,103,115,122,78,62,/,/,/,65
本高2023届,,支卿松,98,114,119,78,70,/,/,/,75
本高2023届,,莫钥吟,111,110,139,/,/,/,76,78,71
本高2023届,,莫琨明,123,122,126.5,/,/,/,61,67,72
本高2023届,,詹元菁,113,114,137,/,/,/,58,73,64
本高2023届,,钟蜜隽,119,117,139.5,61,64,/,63,/,/
本高2023届,1班,罗瀚弛,119,127,122.5,78,69,84,/,/,/
本高2023届,3班,尚子莲,112,120,120.5,/,/,62,61,57,/
本高2023届,3班,高姿羚,116,94,131.5,/,/,/,78,71,68
本高2023届,4班,雷衡炎,117,91,114.5,/,/,64,63,66,/
本高2023届,5班,俞瑶菲,117,101,114.5,59,53,/,/,/,66
本高2023届,6班,曹菲娜,115,111,135.5,68,57,76,/,/,/
本高2023届,7班,褚颖疆,118,133,128,85,78,70,/,/,/
本高2023届,8班,骆亚丽,106,113,129.5,71,74,74,/,/,/
本高2023届,8班,侯兵舰,106,117,113.5,50,65,69,/,/,/
本高2023届,8班,束京妮,108,130,127,76,75,62,/,/,/
本高2023届,9班,范昀攀,97,100,103,49,46,/,63,/,/
本高2023届,9班,嵇嫣蓓,122,106,114.5,54,58,/,76,/,/
本高2023届,9班,谭馨曼,108,115,110.5,81,56,58,/,/,/
本高2023届,10班,翁嫚燕,106,98,112,65,54,45,/,/,/
本高2023届,10班,姬凡连,112,112,124.5,69,/,75,/,/,75
本高2023届,11班,邱忱芳,106,100,120.5,69,48,/,/,/,77
本高2023届,15班,姜珺琨,102,90,116,65,52,/,47,/,/
本高2023届,,邓京愉,105,110,137,/,/,/,71,85,79
本高2023届,,尹娉彤,108,103,122,78,57,/,/,/,63
本高2023届,,姚莉良,113,112,126,74,75,/,/,/,78
本高2023届,,劳卉日,108,130,121.5,74,59,/,73,/,/
本高2023届,,樊华霁,112,120,107.5,57,61,57,/,/,/
本高2023届,1班,单奕畅,124,125,125.5,68,69,89,/,/,/
本高2023届,5班,冯曼望,106,123,122,67,65,/,/,/,51
本高2023届,15班,虞笛昭,98,127,96.5,85,67,/,/,/,69
本高2023届,1班,滑骏岳,106,112,128,71,67,85,/,/,/
本高2023届,1班,祝斐姬,102,107,118.5,62,80,77,/,/,/
本高2023届,1班,钟默飙,114,126,120,81,63,82,/,/,/
本高2023届,1班,顾筱琪,114,126,110.5,75,78,81,/,/,/
本高2023届,1班,邹柯开,119,124,121.5,89,93,88,/,/,/
本高2023届,1班,富昆舰,112,119,132,67,74,/,/,/,72
本高2023届,1班,伍化莹,107,105,117.5,67,53,62,/,/,/
本高2023届,1班,柏眉喻,116,136,124.5,87,66,/,/,/,71
本高2023届,1班,宫维萍,113,133,127,75,80,87,/,/,/
本高2023届,1班,宋耘晨,110,126,133.5,82,70,75,/,/,/
本高2023届,2班,巫剑桐,113,72,103.5,/,/,/,58,56,59
本高2023届,2班,凤含可,111,92,107.5,/,/,67,62,66,/
本高2023届,2班,史洵樱,108,101,104.5,/,/,/,50,63,57
本高2023届,2班,包登刚,107,78,117.5,/,/,/,64,51,56
本高2023届,2班,蒙微喆,109,84,119,/,/,/,62,67,59
本高2023届,2班,晏菊优,113,104,113.5,/,/,/,58,67,68
本高2023届,2班,袁雯鸽,108,102,106,/,/,/,66,64,70
本高2023届,2班,诸跃千,114,66,121.5,/,/,/,57,66,66
本高2023届,2班,诸锋渊,108,100,124.5,/,/,/,52,67,64
本高2023届,3班,毕禄勉,105,107,117.5,/,/,76,67,73,/
本高2023届,3班,萧容珑,115,75,119.5,/,/,/,58,71,74
本高2023届,3班,经琴薇,118,89,128,/,/,64,54,70,/
本高2023届,4班,明熠子,111,103,115,/,/,/,68,66,78
本高2023届,4班,刁鹃婧,77,48,35,/,/,/,16,30,25
本高2023届,4班,蒋力银,116,89,101,/,/,/,62,61,58
本高2023届,4班,韩耀琥,105,68,121.5,/,/,/,52,69,62
本高2023届,4班,颜灵欣,127,84,94.5,/,/,/,63,82,70
本高2023届,4班,崔姬竹,107,97,131,/,/,57,55,63,/
本高2023届,4班,蓬戈钥,114,116,104,/,/,/,65,73,45
本高2023届,4班,霍岚玥,108,61,114,/,/,42,47,65,/
本高2023届,4班,芮芯芸,94,94,100,/,/,43,49,65,/
本高2023届,5班,纪雯燕,110,118,113.5,74,67,/,/,/,59
本高2023届,5班,花旻斐,103,90,95.5,84,56,/,/,/,54
本高2023届,5班,柯咪愉,109,126,124,81,80,/,/,/,78
本高2023届,5班,宋曦阳,109,85,117,57,57,/,/,/,49
本高2023届,5班,谢曦品,108,95,106,45,44,/,/,/,55
本高2023届,6班,刘曙研,110,110,118,76,67,62,/,/,/
本高2023届,6班,赖年鹰,114,112,126.5,75,78,/,69,/,/
本高2023届,6班,农潜靖,109,98,123.5,68,55,63,/,/,/
本高2023届,6班,郎荔蓉,116,109,132,67,78,66,/,/,/
本高2023届,6班,井潜霄,116,128,130.5,60,79,61,/,/,/
本高2023届,6班,祁连蕴,114,117,125,81,72,70,/,/,/
本高2023届,6班,褚赢严,106,107,127,61,72,73,/,/,/
本高2023届,6班,平元桐,116,111,133,64,69,/,/,/,75
本高2023届,6班,尚知韶,118,101,114,51,52,64,/,/,/
本高2023届,6班,羿澄洋,103,135,120.5,88,82,66,/,/,/
本高2023届,6班,黄升意,107,122,132.5,76,82,/,/,/,74
本高2023届,6班,洪杏暖,119,124,124,79,71,75,/,/,/
本高2023届,7班,柳蕙纯,117,138,132,100,83,76,/,/,/
本高2023届,7班,顾婉多,112,131,132.5,/,/,/,78,82,78
本高2023届,7班,支洵伦,124,112,143,/,/,/,73,71,81
本高2023届,7班,牧利桦,114,122,136.5,85,81,/,/,/,77
本高2023届,7班,方巧霏,108,117,130,69,77,78,/,/,/
本高2023届,7班,高景景,120,116,132,92,84,78,/,/,/
本高2023届,8班,尚蜜晟,101,96,104.5,57,60,58,/,/,/
本高2023届,8班,邢遥宏,108,104,118,74,58,63,/,/,/
本高2023届,8班,邴容良,112,113,119.5,53,54,61,/,/,/
本高2023届,8班,霍一欣,116,96,113.5,61,39,46,/,/,/
本高2023届,8班,褚舰华,112,103,119,59,44,58,/,/,/
本高2023届,8班,戚望田,105,118,125,71,76,77,/,/,/
本高2023届,8班,娄昀瑗,102,131,117,87,81,82,/,/,/
本高2023届,8班,宋格竹,91,130,116.5,65,70,61,/,/,/
本高2023届,8班,刁嫚津,122,122,114.5,78,71,68,/,/,/
本高2023届,8班,卫金队,115,124,114.5,80,71,69,/,/,/
本高2023届,9班,杨庄肖,92,76,115.5,30,24,/,36,/,/
本高2023届,9班,荣菲兰,96,108,118.5,65,73,/,/,/,51
