年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,12班,侯爱梓,108,96,117,47,39,56,/,/,/
本高2023届,12班,缪言焰,106,83,98.5,26,55,/,/,/,66
本高2023届,13班,惠朋言,111,87,83.5,38,35,60,/,/,/
本高2023届,13班,毕斐言,92,56,109.5,31,36,56,/,/,/
本高2023届,14班,包玥耘,106,91,104.5,44,55,/,/,/,52
本高2023届,15班,惠沫绚,109,73,120,40,33,62,/,/,/
本高2023届,1班,束齐璋,103,121,109,86,58,/,/,/,60
本高2023届,1班,谢雨峥,113,107,133,73,71,/,/,/,78
本高2023届,1班,穆诺澄,91,102,/,73,43,67,/,/,/
本高2023届,2班,舒绮华,122,86,119.5,/,/,/,72,79,57
本高2023届,3班,谢棋燃,108,74,130.5,/,/,44,69,78,/
本高2023届,4班,蒋曼蓓,103,44,101.5,/,/,43,33,62,/
本高2023届,4班,秋勇力,103,82,117.5,/,/,/,65,70,62
本高2023届,6班,尤玥莲,108,96,130,72,56,/,73,/,/
本高2023届,6班,阮岑庚,111,89,112.5,58,42,71,/,/,/
本高2023届,6班,贾汝蔚,108,98,127.5,71,65,67,/,/,/
本高2023届,7班,成迎浪,115,104,132.5,67,79,/,/,/,73
本高2023届,8班,松骥雄,90,60,114.5,43,30,74,/,/,/
本高2023届,8班,傅晏成,107,82,111.5,41,42,64,/,/,/
本高2023届,9班,贾滨林,114,72,137,70,36,67,/,/,/
本高2023届,12班,洪晔晴,93,81,137.5,61,56,/,58,/,/
本高2023届,12班,姬馨珏,111,70,102.5,44,48,57,/,/,/
本高2023届,12班,经钰漫,112,82,114.5,61,66,76,/,/,/
本高2023届,14班,田祺爱,104,79,97,48,39,49,/,/,/
本高2023届,15班,俞航雁,111,73,96,39,21,62,/,/,/
本高2023届,1班,明凌启,112,103,130.5,76,72,82,/,/,/
本高2023届,1班,徐蝶真,109,97,127.5,49,41,51,/,/,/
本高2023届,1班,毛欣吟,112,112,134,71,70,84,/,/,/
本高2023届,1班,幸晗裙,112,87,126,73,60,77,/,/,/
本高2023届,2班,王玫良,106,64,130.5,/,/,/,68,73,57
本高2023届,2班,林竹根,95,59,105.5,/,/,/,59,/,48
本高2023届,2班,孟瑛菁,112,72,119,/,/,63,62,68,/
本高2023届,2班,翁川帅,114,71,126,/,/,/,74,65,69
本高2023届,2班,韩娣励,112,48,128.5,/,/,/,65,76,50
本高2023届,3班,尤钟柱,118,113,137.5,/,/,/,69,82,60
本高2023届,3班,纪泉才,108,89,133.5,/,/,/,62,79,65
本高2023届,3班,井晔思,108,94,143,/,/,/,71,88,71
本高2023届,3班,蔡声灵,116,69,118.5,/,/,62,62,78,/
本高2023届,4班,施嵘琦,/,/,/,/,/,/,/,/,/
本高2023届,4班,蔡南联,107,84,120.5,/,/,49,69,68,/
本高2023届,4班,杭雷赞,101,51,130.5,/,/,/,57,66,39
本高2023届,4班,傅辉发,109,76,127,/,/,87,74,76,/
本高2023届,6班,温彤婕,104,79,119,67,21,/,65,/,/
本高2023届,6班,洪贞婉,114,76,122,57,52,87,/,/,/
本高2023届,7班,卢岱攀,114,104,133,62,56,79,/,/,/
本高2023届,7班,薛齐灏,103,138,136.5,78,59,79,/,/,/
本高2023届,7班,魏莉玲,126,120,139.5,/,/,/,84,85,90
本高2023届,7班,许满策,107,120,128,73,73,76,/,/,/
本高2023届,7班,邹韵齐,119,106,133.5,75,72,/,/,/,74
本高2023届,7班,殷翔黎,122,110,138,64,71,94,/,/,/
本高2023届,8班,邓园宾,100,102,128,53,46,72,/,/,/
本高2023届,8班,嵇崧朋,111,93,100.5,47,53,65,/,/,/
本高2023届,8班,施标谦,98,81,125,56,50,55,/,/,/
本高2023届,9班,戚凌洲,108,85,124,46,46,/,68,/,/
本高2023届,10班,娄龙旦,97,75,124,42,/,56,/,/,61
本高2023届,10班,宫迁胡,103,70,111,40,/,56,/,/,62
本高2023届,10班,仲洋笛,118,82,130.5,51,46,59,/,/,/
本高2023届,10班,奚凌妙,107,72,135,38,40,53,/,/,/
本高2023届,11班,翁娜梅,115,75,107,54,37,/,/,/,63
本高2023届,11班,白钟朗,97,100,117,64,49,/,/,/,68
本高2023届,11班,邢雪喻,103,94,124.5,69,43,/,/,/,69
本高2023届,11班,滑彬好,111,99,/,76,49,/,/,/,72
本高2023届,11班,何然彩,100,83,93.5,62,29,/,/,/,66
本高2023届,11班,穆慈跃,100,95,121.5,44,27,/,/,/,61
本高2023届,11班,计利耿,108,86,123.5,52,39,/,/,/,64
本高2023届,11班,荣毓品,/,/,/,/,/,/,/,/,/
本高2023届,11班,束敏朦,107,85,112.5,60,51,/,/,/,64
本高2023届,12班,邹郁满,103,78,127,64,42,/,56,/,/
本高2023届,12班,柏洵泽,104,45,116.5,28,39,66,/,/,/
本高2023届,12班,李碧格,98,78,110.5,39,59,61,/,/,/
本高2023届,12班,曹桑纯,113,89,126,52,65,59,/,/,/
本高2023届,12班,柏前溪,108,98,126.5,61,66,67,/,/,/
本高2023届,13班,殷鹭蔷,103,78,111,50,32,63,/,/,/
本高2023届,13班,奚信晗,105,95,99,62,40,56,/,/,/
本高2023届,13班,蔡歌舰,106,74,95.5,46,47,65,/,/,/
本高2023届,13班,钱眉音,94,67,92,45,36,76,/,/,/
本高2023届,13班,凌若焰,106,100,127,54,61,54,/,/,/
本高2023届,14班,章宙壮,106,84,109.5,61,51,/,/,/,57
本高2023届,15班,荣柏奎,101,82,103,43,44,/,61,/,/
本高2023届,15班,舒梦霜,/,/,/,72,/,/,/,/,/
本高2023届,15班,翁姣果,102,86,114,66,42,/,/,/,71
本高2023届,1班,罗瀚弛,113,109,132,80,79,90,/,/,/
本高2023届,3班,尚子莲,113,83,116.5,/,/,51,67,75,/
本高2023届,3班,高姿羚,105,82,131,/,/,/,75,67,62
本高2023届,4班,雷衡炎,109,77,124,/,/,71,66,77,/
本高2023届,5班,俞瑶菲,98,77,95.5,48,30,/,/,/,68
本高2023届,6班,曹菲娜,109,110,131.5,70,56,87,/,/,/
本高2023届,7班,褚颖疆,114,116,138.5,60,66,76,/,/,/
本高2023届,8班,骆亚丽,118,86,123,69,39,66,/,/,/
本高2023届,8班,侯兵舰,108,81,109,42,52,77,/,/,/
本高2023届,8班,束京妮,99,96,130.5,74,60,76,/,/,/
本高2023届,9班,范昀攀,105,89,112.5,36,32,/,61,/,/
本高2023届,9班,嵇嫣蓓,109,96,113,48,57,/,66,/,/
本高2023届,9班,谭馨曼,115,95,99.5,66,45,56,/,/,/
本高2023届,10班,翁嫚燕,111,71,115,35,27,52,/,/,/
本高2023届,10班,姬凡连,103,83,116.5,50,/,73,/,/,61
本高2023届,11班,邱忱芳,98,69,120.5,53,39,/,/,/,59
本高2023届,13班,杨尤毓,116,124,132.5,65,76,85,/,/,/
本高2023届,15班,姜珺琨,102,91,117.5,47,30,/,64,/,/
本高2023届,1班,单奕畅,124,97,137,61,62,70,/,/,/
本高2023届,5班,冯曼望,107,109,118,74,61,/,/,/,57
本高2023届,15班,虞笛昭,100,83,104,68,66,/,/,/,63
本高2023届,1班,滑骏岳,99,101,127.5,74,58,73,/,/,/
本高2023届,1班,祝斐姬,113,111,127,68,61,85,/,/,/
本高2023届,1班,钟默飙,112,104,134,76,54,85,/,/,/
本高2023届,1班,顾筱琪,111,102,120,69,69,74,/,/,/
本高2023届,1班,邹柯开,114,105,138,86,73,89,/,/,/
本高2023届,1班,富昆舰,115,104,137,66,57,/,/,/,67
本高2023届,1班,伍化莹,100,101,112.5,44,45,60,/,/,/
本高2023届,1班,柏眉喻,101,99,126,75,64,/,/,/,77
本高2023届,1班,宫维萍,102,113,110.5,80,64,83,/,/,/
本高2023届,1班,宋耘晨,116,108,130,65,64,76,/,/,/
本高2023届,2班,巫剑桐,110,71,104,/,/,/,63,75,70
本高2023届,2班,凤含可,117,62,101,/,/,62,62,73,/
本高2023届,2班,史洵樱,104,65,108,/,/,/,50,66,55
本高2023届,2班,包登刚,97,68,104.5,/,/,/,55,71,48
本高2023届,2班,蒙微喆,117,56,111.5,/,/,/,67,71,64
本高2023届,2班,晏菊优,103,60,103,/,/,/,65,72,68
本高2023届,2班,袁雯鸽,103,99,108.5,/,/,/,64,74,65
本高2023届,2班,诸跃千,112,72,120,/,/,/,74,83,61
本高2023届,2班,诸锋渊,102,80,129,/,/,/,62,81,55
本高2023届,3班,毕禄勉,105,85,121.5,/,/,61,67,69,/
本高2023届,3班,萧容珑,108,75,111.5,/,/,/,73,73,51
本高2023届,3班,经琴薇,111,74,131,/,/,68,64,79,/
本高2023届,4班,明熠子,110,87,112.5,/,/,/,73,79,73
本高2023届,4班,刁鹃婧,76,23,50,/,/,/,13,44,23
本高2023届,4班,蒋力银,106,/,113,/,/,/,59,70,35
本高2023届,4班,韩耀琥,110,45,120,/,/,/,64,68,47
本高2023届,4班,颜灵欣,114,67,108.5,/,/,/,75,78,63
本高2023届,4班,崔姬竹,101,70,120.5,/,/,59,59,77,/
本高2023届,4班,蓬戈钥,104,68,107.5,/,/,/,50,75,77
本高2023届,4班,霍岚玥,92,60,93.5,/,/,44,37,66,/
本高2023届,4班,水祺丹,109,66,120.5,/,/,59,62,67,/
本高2023届,5班,纪雯燕,101,80,112.5,72,39,/,/,/,68
本高2023届,5班,花旻斐,99,78,97,75,55,/,/,/,65
本高2023届,5班,柯咪愉,100,109,120,61,59,/,/,/,52
本高2023届,5班,宋曦阳,97,64,116,57,41,/,/,/,62
本高2023届,5班,谢曦品,93,78,93,32,36,/,/,/,52
本高2023届,6班,刘曙研,114,101,116,55,55,73,/,/,/
本高2023届,6班,赖年鹰,114,103,126.5,64,46,/,61,/,/
本高2023届,6班,农潜靖,96,80,103,75,42,77,/,/,/
本高2023届,6班,郎荔蓉,114,77,125,69,56,66,/,/,/
本高2023届,6班,井潜霄,104,89,119,42,51,75,/,/,/
本高2023届,6班,祁连蕴,107,100,128.5,70,62,76,/,/,/
本高2023届,6班,褚赢严,121,97,124,61,57,68,/,/,/
本高2023届,6班,平元桐,97,96,126.5,76,53,/,/,/,66
