年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,11班,凤原启,98,73,114.5,45,30,/,/,/,54
本高2023届,12班,侯爱梓,105,95,121,61,56,68,/,/,/
本高2023届,12班,缪言焰,114,84,104.5,53,51,/,/,/,75
本高2023届,13班,惠朋言,107,99,93,68,33,73,/,/,/
本高2023届,13班,毕斐言,103,110,116.5,64,68,83,/,/,/
本高2023届,14班,包玥耘,109,93,118.5,59,52,/,/,/,58
本高2023届,15班,惠沫绚,111,76,108,58,44,63,/,/,/
本高2023届,1班,束齐璋,116,102,98.5,89,58,/,/,/,68
本高2023届,1班,谢雨峥,114,103,123.5,64,62,/,/,/,62
本高2023届,1班,穆诺澄,98,100,120.5,74,67,83,/,/,/
本高2023届,2班,舒绮华,114,84,111,/,/,/,85,78,77
本高2023届,3班,谢棋燃,115,85,119,/,/,71,79,76,/
本高2023届,4班,蒋曼蓓,45,61,43.5,/,/,/,/,62,/
本高2023届,4班,秋勇力,109,93,105.5,/,/,/,72,74,69
本高2023届,6班,尤玥莲,118,108,135,85,60,/,71,/,/
本高2023届,6班,阮岑庚,117,107,118,78,54,79,/,/,/
本高2023届,6班,贾汝蔚,/,/,133.5,79,74,70,/,/,/
本高2023届,7班,成迎浪,120,66,131,66,61,/,/,/,58
本高2023届,8班,松骥雄,86,48,103.5,30,22,42,/,/,/
本高2023届,8班,傅晏成,101,95,114,57,42,55,/,/,/
本高2023届,9班,贾滨林,108,75,104.5,54,53,66,/,/,/
本高2023届,12班,洪晔晴,28,68,137,46,64,/,78,/,/
本高2023届,12班,姬馨珏,75,103,84.5,81,48,72,/,/,/
本高2023届,12班,经钰漫,104,69,97.5,49,57,64,/,/,/
本高2023届,14班,田祺爱,/,/,89.5,/,49,61,/,/,/
本高2023届,15班,俞航雁,112,86,124.5,72,47,63,/,/,/
本高2023届,1班,明凌启,104,92,130.5,72,69,78,/,/,/
本高2023届,1班,徐蝶真,114,121,116.5,65,61,67,/,/,/
本高2023届,1班,毛欣吟,105,122,116.5,79,72,77,/,/,/
本高2023届,1班,幸晗裙,112,114,123.5,64,70,82,/,/,/
本高2023届,2班,王玫良,112,62,133,/,/,/,86,68,71
本高2023届,2班,林竹根,111,60,114.5,/,/,/,74,53,65
本高2023届,2班,孟瑛菁,102,65,98.5,/,/,35,52,49,/
本高2023届,2班,翁川帅,108,59,113.5,/,/,/,70,73,54
本高2023届,2班,韩娣励,107,32,131,/,/,/,76,62,58
本高2023届,3班,尤钟柱,120,108,130.5,/,/,/,83,87,73
本高2023届,3班,纪泉才,110,93,140,/,/,/,77,62,49
本高2023届,3班,井晔思,108,87,135,/,/,/,83,81,63
本高2023届,3班,蔡声灵,107,73,107,/,/,70,82,79,/
本高2023届,4班,施嵘琦,110,109,129,/,/,/,86,79,60
本高2023届,4班,蔡南联,98,89,120,/,/,68,71,70,/
本高2023届,4班,杭雷赞,109,57,74,/,/,/,69,/,54
本高2023届,4班,傅辉发,112,98,120.5,/,/,77,77,80,/
本高2023届,6班,温彤婕,111,91,114,62,42,/,75,/,/
本高2023届,6班,洪贞婉,101,82,107,61,72,/,/,/,/
本高2023届,7班,卢岱攀,110,98,127.5,87,70,79,/,/,/
本高2023届,7班,薛齐灏,117,122,123,87,70,82,/,/,/
本高2023届,7班,魏莉玲,119,126,141.5,/,/,/,93,92,80
本高2023届,7班,许满策,112,121,126,96,72,75,/,/,/
本高2023届,7班,邹韵齐,108,126,135.5,93,67,/,/,/,75
本高2023届,7班,殷翔黎,117,116,119.5,79,68,92,/,/,/
本高2023届,8班,邓园宾,107,114,129.5,85,67,74,/,/,/
本高2023届,8班,嵇崧朋,118,114,110.5,72,81,78,/,/,/
本高2023届,8班,施标谦,99,112,98,85,58,66,/,/,/
本高2023届,9班,戚凌洲,121,110,126,68,59,/,86,/,/
本高2023届,10班,娄龙旦,/,100,93.5,68,/,72,/,/,55
本高2023届,10班,宫迁胡,118,78,99,66,/,67,/,/,57
本高2023届,10班,仲洋笛,118,71,107,63,52,58,/,/,/
本高2023届,10班,奚凌妙,96,82,116,52,51,65,/,/,/
本高2023届,11班,翁娜梅,104,77,109,53,46,/,/,/,46
本高2023届,11班,白钟朗,101,98,118.5,66,62,/,/,/,61
本高2023届,11班,邢雪喻,109,106,109,44,43,/,/,/,52
本高2023届,11班,滑彬好,115,87,119,72,51,/,/,/,71
本高2023届,11班,何然彩,102,91,94,55,51,/,/,/,62
本高2023届,11班,穆慈跃,105,75,111,52,44,/,/,/,35
本高2023届,11班,计利耿,101,87,111.5,61,61,/,/,/,52
本高2023届,11班,束敏朦,103,87,111,40,58,/,/,/,57
本高2023届,12班,邹郁满,63,62,102.5,60,59,/,73,/,/
本高2023届,12班,柏洵泽,60,69,109,64,63,88,/,/,/
本高2023届,12班,李碧格,104,69,113.5,44,46,55,/,/,/
本高2023届,12班,曹桑纯,110,93,126.5,62,54,75,/,/,/
本高2023届,12班,柏前溪,112,111,125,76,64,81,/,/,/
本高2023届,13班,殷鹭蔷,99,82,98.5,45,61,56,/,/,/
本高2023届,13班,奚信晗,114,117,98.5,56,59,68,/,/,/
本高2023届,13班,蔡歌舰,105,114,105,75,48,67,/,/,/
本高2023届,13班,钱眉音,96,87,103,59,60,91,/,/,/
本高2023届,13班,凌若焰,85,93,117.5,74,55,70,/,/,/
本高2023届,14班,章宙壮,113,84,106.5,67,56,/,/,/,62
本高2023届,15班,荣柏奎,114,90,114.5,65,60,/,69,/,/
本高2023届,15班,舒梦霜,107,97,116.5,72,66,82,/,/,/
本高2023届,15班,翁姣果,95,66,119.5,71,50,/,/,/,52
本高2023届,1班,罗瀚弛,107,98,120,86,73,86,/,/,/
本高2023届,3班,尚子莲,119,89,131,/,/,70,75,71,/
本高2023届,3班,高姿羚,110,89,121.5,/,/,/,80,66,62
本高2023届,4班,雷衡炎,113,82,122.5,/,/,73,76,77,/
本高2023届,5班,俞瑶菲,109,54,94,52,45,/,/,/,46
本高2023届,6班,曹菲娜,111,128,103,72,66,82,/,/,/
本高2023届,7班,褚颖疆,119,129,139.5,78,77,80,/,/,/
本高2023届,8班,骆亚丽,113,83,123.5,65,50,62,/,/,/
本高2023届,8班,侯兵舰,102,66,105.5,59,45,60,/,/,/
本高2023届,8班,束京妮,111,124,125,91,79,77,/,/,/
本高2023届,9班,范昀攀,122,94,109,64,60,/,69,/,/
本高2023届,9班,嵇嫣蓓,113,97,116.5,60,54,/,75,/,/
本高2023届,9班,谭馨曼,100,103,124.5,56,54,69,/,/,/
本高2023届,10班,翁嫚燕,94,90,103,59,52,55,/,/,/
本高2023届,10班,姬凡连,118,98,119.5,43,/,79,/,/,71
本高2023届,11班,邱忱芳,97,69,102,63,54,/,/,/,54
本高2023届,13班,杨尤毓,116,106,128.5,81,66,87,/,/,/
本高2023届,15班,姜珺琨,107,89,114,58,50,/,69,/,/
本高2023届,1班,单奕畅,112,109,132.5,73,69,81,/,/,/
本高2023届,5班,冯曼望,112,109,109,84,61,/,/,/,50
本高2023届,15班,虞笛昭,73,53,57.5,62,47,/,/,/,46
本高2023届,1班,滑骏岳,110,93,99,79,51,75,/,/,/
本高2023届,1班,祝斐姬,102,110,111.5,80,68,74,/,/,/
本高2023届,1班,钟默飙,110,107,121,84,73,77,/,/,/
本高2023届,1班,顾筱琪,107,110,127.5,75,78,76,/,/,/
本高2023届,1班,邹柯开,106,111,132,87,86,90,/,/,/
本高2023届,1班,富昆舰,115,110,122,70,60,/,/,/,63
本高2023届,1班,伍化莹,110,81,102.5,69,57,79,/,/,/
本高2023届,1班,柏眉喻,110,99,121.5,89,73,/,/,/,70
本高2023届,1班,宫维萍,97,115,120,77,78,70,/,/,/
本高2023届,1班,宋耘晨,110,134,133.5,85,76,77,/,/,/
本高2023届,2班,巫剑桐,105,63,124.5,/,/,/,67,66,67
本高2023届,2班,凤含可,118,82,110.5,/,/,51,81,69,/
本高2023届,2班,史洵樱,108,63,101.5,/,/,/,70,58,54
本高2023届,2班,包登刚,50,65,101,/,/,/,61,63,62
